Sanskrit,English
pada,foot
sukha,happiness
duḥkha,suffering
jīva,living being
mṛtyu,death
sattva,goodness
rajas,passion
tamas,darkness
yoga,union
vidyā,knowledge
sama,equal
dāna,gift
yajña,sacrifice
yoga,practice
nīti,ethics
dharma,duty
yātrā,journey
mukti,liberation
karma,deed
satsaṅga,good company
dhyāna,meditation
prāṇa,breath
āsana,posture
pratyāhāra,withdrawal
ananda,bliss
bindu,dot
māyā,illusion
guṇa,quality
svabhāva,nature
tapa,penance
japa,repetition
dīkṣā,initiation
guru,teacher
śiṣya,disciple
mantra,sacred chant
yantra,symbol
ātma,self
sādhana,spiritual practice
sākṣāt,directly
puruṣa,consciousness
prakṛti,nature
nirvāṇa,liberation
mūla,root
jīvana,life
parama,ultimate
śakti,energy
nārāyaṇa,Vishnu
śiva,Shiva
ānanda,joy
kāma,desire
mokṣa,liberation
yuga,age
Ṛta,cosmic order
buddhi,intellect
tīrtha,sacred place
yathā,just as
tadā,then
sākṣāt,immediately
śabda,word
parā,transcendental
aparā,material
kaivalya,absolute
brahmacārin,celibate student
saṃnyāsa,renunciation
bhakti,devotion
viveka,discrimination
ādi,beginning
anta,end
bhāvana,contemplation
nididhyāsana,deep meditation
āśrama,spiritual dwelling
sākāra,with form
nirākāra,without form
kṣetra,field
kṣetrajña,knower of the field
bhūta,element
ākāśa,space
vāyu,air
āpas,water
sthiti,existence
saṃhāra,destruction
vikāra,modification
mānas,mind
buddhi,intellect
citta,consciousness
sūtra,thread
kāla,time
yoni,source
ātman,self
para,higher
sandhyā,twilight
sānkhya,enumeration
nyāya,logic
vaiśeṣika,particular
yoga,path
sūtra,aphorism
siddhi,attainment
vibhūti,power
āsura,demonic
deva,divine
avatāra,incarnation
sāra,essence
tantra,framework
śloka,verse
smṛti,remembered
sahasrāra,thousand-petaled
puruṣārtha,goal of life
darśana,philosophical system
mithyā,false
satya,true
upaniṣad,sitting down near
saṅkalpa,resolve
sādhanā,spiritual discipline
śaktipāta,grace
anugraha,blessing
prasaṅga,association
āptavākya,authoritative statement
āturya,higher self
āvartanā,repetition
rasa,taste
bhūmi,level
jīvanmukta,liberated while alive
vidyāmārga,path of knowledge
prāṇāyāma,control of breath
pratyahara,withdrawal of senses
dhāraṇā,concentration
dhyāna,meditation
anuvāda,translation
pañcatattva,five elements
bhūtādi,beginning with the elements
