,French,English
0,partie,part
1,chercher,search
2,aide,help
3,demande,kind
4,genre,brother
5,frère,because
6,car,leash
7,laisse,them
8,eux,city
9,ville,each
10,chaque,speak
11,parlé,should
12,arrivé,baby
13,devrait,long time
14,bébé,while
15,longtemps,meet again
16,pendant,any
17,revoir,square
18,aucune,speak
19,parle,knew
20,compris,were
21,savais,Warning
22,étaient,here is
23,attention,could
24,pourrais,give
25,affaire,type
26,donner,their
27,type,train
28,leurs,eyes
29,corps,listen
30,yeux,first
31,écoute,lost
32,trouve,first
33,premier,side
34,perdu,power
35,première,old
36,côté,morning
37,vieux,so much
38,sois,point
39,tellement,came
40,venu,come
41,suite,in front of
42,pardon,towards
43,devant,minutes
44,vers,request
45,minutes,bedroom
46,chambre,placed
47,mis,beautiful
48,belle,would like to
49,aimerais,today
50,aujourd'hui,cause
51,cause,finally
52,enfin,water
53,eau,Wait
54,attendez,new
55,nouvelle,job
56,boulot,Stop
57,arrêter,Earth
58,terre,account
59,compte,given
60,loin,far
61,fin,end
62,croire,believe
63,chérie,sweetheart
64,gros,large
65,plutôt,rather
66,filles,girls
67,bureau,office
